Store Nbr	Store Name	Store Type Descr	Open Sunday Flag	Street Address	City	State	Zip Code	MDSE Major Zone	MDSE Sub Zone	Square Footage	Subdiv	Region	District	Open Date	Expansion Size SQFT	Expansion Open Date	Dry Run Date	Regular Warehouse	Assembly Warehouse	Circular Warehouse	Distribution Warehouse	WPM Warehouse	Store Prototype Nbr	IDC	IDC Desc	Port	Port Desc
842	PUEBLO (N), CO	BASE STR Supercenter	Y	4200 DILLON DR	PUEBLO	CO	81008	70	73	202847	1M	47	389	10/01/1985	86911	09/16/1998	10/01/1985	6019	6019	6019	6019	6029	189	6060	SOUTHGATE-STORAGE	3020	SOUTHGATE-FLOW
843	CAMILLA GA	BASE STR Supercenter	Y	165 US HIGHWAY 19 S	CAMILLA	GA	31730	40	46	70338	1A	3	27	09/10/1985	70338	01/23/2013	09/10/1985	6010	6010	6010	6010	6014	30	6061	STATESBORO-STORAGE	3060	SAVANNAH-FLOW
844	MORRIS IL	BASE STR Supercenter	Y	333 E US ROUTE 6	MORRIS	IL	60450	80	85	185061	1N	25	262	09/02/1986	87285	07/15/1998	09/02/1986	6092	6092	6092	6092	6022	167	7078	ELWOOD STORAGE	3148	ELWOOD FLOW
845	BUFFALO MO EF	BASE STR Wal-Mart	Y	1250 W DALLAS ST	BUFFALO	MO	65622	60	65	31164	1N	40	357	10/01/1985	0		10/01/1985	6069	6069	6069	6069	6008	30	7078	ELWOOD STORAGE	3148	ELWOOD FLOW
846	LAGRANGE TX	BASE STR Supercenter	Y	1915 W. STATE HWY. 71	LA GRANGE	TX	78945	40	44	121329	1B	7	85	10/15/1985	50968	10/23/2013	10/15/1985	7036	7036	7036	7036	6005	50	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
847	DODGEVILLE WI	BASE STR Supercenter	Y	601 E LEFFLER ST	DODGEVILLE	WI	53533	80	85	155774	1N	53	441	09/17/1985	41304	01/19/2007	09/17/1985	7039	7039	7039	7039	6022	145	7078	ELWOOD STORAGE	3148	ELWOOD FLOW
848	SOUTHAVEN MS	BASE STR Supercenter	Y	6811 SOUTHCREST PKWY	SOUTHAVEN	MS	38671	50	55	205184	1F	12	144	11/12/1985	125457	10/14/1998	11/12/1985	6018	6018	6018	6018	6008	189	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
849	HOUST/HUMBLE/ALBIDE	BASE STR Supercenter	Y	155 LOUETTA XING	SPRING	TX	77373	30	34	221942	1B	6	59	02/04/1986	95175	10/13/1999	02/04/1986	7036	7036	7036	7036	6005	208	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
850	ALBUQUERQUE (C), NM	BASE STR Supercenter	Y	2701 CARLISLE BLVD NE	ALBUQUERQUE	NM	87110	60	63	214067	1M	46	385	07/02/1985	125462	05/19/2004	07/02/1985	6012	6012	6012	6012	6008	192	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
851	RUIDOSO DOWNS, NM	BASE STR Supercenter	Y	26180 US HIGHWAY 70 E	RUIDOSO DOWNS	NM	88346	50	53	149704	1M	46	386	03/04/1986	50968	10/15/1997	03/04/1986	6012	6012	6012	6012	6008	139	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
852	OTTAWA IL	BASE STR Supercenter	Y	4041 VETERANS DR	OTTAWA	IL	61350	80	85	205147	1N	25	262	12/31/1985	91115	08/16/2006	12/31/1985	6092	6092	6092	6092	6022	195	7078	ELWOOD STORAGE	3148	ELWOOD FLOW
853	MOBILE AL	BASE STR Supercenter	Y	685 SCHILLINGER RD S	MOBILE	AL	36695	30	35	204231	1A	1	1	08/20/1985	109323	08/13/1997	08/20/1985	6011	6011	6011	6011	6005	188	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
854	FRANKFORT IN	BASE STR Supercenter	Y	2460 E WABASH ST	FRANKFORT	IN	46041	70	75	155083	1F	23	246	01/21/1986	68116	10/30/2002	01/21/1986	6092	6092	6092	6092	6022	145	7078	ELWOOD STORAGE	3148	ELWOOD FLOW
855	UNION CITY GA	BASE STR Supercenter	Y	4735 JONESBORO RD	UNION CITY	GA	30291	50	56	203091	1A	2	22	01/21/1986	88035	06/15/2005	01/21/1986	6054	6054	6054	6054	6014	195	6061	STATESBORO-STORAGE	3060	SAVANNAH-FLOW
856	BREMEN GA	BASE STR Supercenter	Y	404 HWY 27 NO. BYPAS	BREMEN	GA	30110	50	56	155078	1A	2	22	10/01/1985	46355	08/20/2003	10/01/1985	6006	6006	6006	6006	6014	145	6061	STATESBORO-STORAGE	3060	SAVANNAH-FLOW
857	SANFORD FL	BASE STR Supercenter	Y	3653 S ORLANDO DR	SANFORD	FL	32773	30	36	207821	1A	9	94	10/01/1985	104680	05/22/2002	10/01/1985	7035	7035	7035	7035	6014	192	6061	STATESBORO-STORAGE	3060	SAVANNAH-FLOW
858	CAIRO GA	BASE STR Supercenter	Y	361 8TH AVE NE	CAIRO	GA	39828	40	46	99704	1A	3	97	11/12/1985	50968	03/23/2005	11/12/1985	6010	6010	6010	6010	6014	98	6061	STATESBORO-STORAGE	3060	SAVANNAH-FLOW
